# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_glyc_1Aligned.sortedByCoord.out.bam
cds-CAC36917.2	CU329671.1	105128	106873	+	1746	74
cds-CAB91571.1	CU329671.1	107759	108871	+	1113	107
cds-CAB91572.1	CU329671.1	111309	113048	-	1740	422
cds-CAB91573.1	CU329671.1	118252	119328	-	1077	29
cds-CAB91574.1	CU329671.1	122747	127144	+	4398	993
cds-CAB91575.1	CU329671.1	128825	129598	+	774	18280
cds-CAB91163.1	CU329671.1	134303	136024	+	1722	244
cds-CAB91164.1	CU329671.1	137044	138063	+	1020	78
cds-CAB91165.1	CU329671.1	138525	140084	-	1560	545
cds-CAB91166.1	CU329671.1	142412	144910	+	2499	357
cds-CAB91167.1	CU329671.1	148750	150429	+	1680	294
cds-CAB91168.1	CU329671.1	151814	152746	-	933	83
cds-CAB91169.1	CU329671.1	153562	155301	+	1740	1902
cds-CAB91170.1	CU329671.1	157555	159228	+	1674	936
cds-CAB91171.1	CU329671.1	160461	162155	-	1695	914
cds-CAB91172.1	CU329671.1	164430	165158	-	729	330
cds-CAB91173.1	CU329671.1	166792	168348	-	1557	186
cds-CAB91174.1	CU329671.1	168671	170119	+	1449	231
cds-CAB91175.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	170167;171909;172040;172105	171862;171991;172064;172157	-;-;-;-	1857	170
cds-CAB91176.1	CU329671.1	172991	174262	+	1272	282
cds-CAB91177.1	CU329671.1	174842	175945	+	1104	119
cds-CAB91178.1	CU329671.1	176297	177046	-	750	82
cds-CAK9839372.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	177556;177656;178344;178690;178857;179032;179322;179440;180300;180461	177608;178291;178651;178811;178988;179283;179387;180143;180416;180608	-;-;-;-;-;-;-;-;-;-	2538	0
cds-CAB91179.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	177556;177656;178344;178690;178857;179032;179322;179440;180461	177608;178291;178651;178811;178988;179283;179387;180416;180608	-;-;-;-;-;-;-;-;-	2694	0
cds-CAB91180.1	CU329671.1	181695	182303	+	609	385
cds-CAB91181.1	CU329671.1	182825	184225	-	1401	630
cds-CAB91182.2	CU329671.1;CU329671.1	185289;186594	186535;186675	-;-	1329	390
cds-CAB91183.2	CU329671.1;CU329671.1	187424;187581	187455;188979	+;+	1431	1044
cds-CAB91185.1	CU329671.1;CU329671.1;CU329671.1	190207;191288;191489	191217;191414;191676	-;-;-	1326	220
cds-CAB91184.2	CU329671.1;CU329671.1	189665;189978	189919;190205	+;+	483	134
cds-CAB91186.1	CU329671.1;CU329671.1;CU329671.1	191936;192198;192566	192146;192524;193542	-;-;-	1515	262
cds-CAB91188.1	CU329671.1;CU329671.1;CU329671.1	195990;196348;196551	196244;196491;197075	-;-;-	924	351
cds-CAB91187.1	CU329671.1;CU329671.1	194678;194845	194798;195989	+;+	1266	66
cds-CAB91189.2	CU329671.1	198099	199142	-	1044	5870
cds-CAA22525.1	CU329671.1	202536	202967	+	432	65
cds-CAA22526.1	CU329671.1	204649	205470	+	822	1100
cds-CAA22527.1	CU329671.1	207078	209285	+	2208	1307
cds-CAA22528.2	CU329671.1;CU329671.1	209802;209922	209825;211172	+;+	1275	461
cds-CAA22529.1	CU329671.1	211511	211858	+	348	155
cds-CAA22530.1	CU329671.1;CU329671.1	212375;212575	212491;214899	+;+	2442	245
cds-CAA22531.2	CU329671.1;CU329671.1;CU329671.1	215144;215606;215861	215355;215807;216496	+;+;+	1050	458
cds-CAA22532.1	CU329671.1	217001	218179	-	1179	118
cds-CAA22533.1	CU329671.1;CU329671.1	219362;221220	221150;221260	-;-	1830	487
cds-CAA22534.1	CU329671.1;CU329671.1	221699;222976	222907;223512	+;+	1746	24
cds-CAA22535.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	224329;224424;224937;225299;225508	224375;224864;224977;225462;226239	+;+;+;+;+	1425	507
cds-CAA22536.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	230368;230446;230616;231497;231737	230384;230450;230679;231564;233061	+;+;+;+;+	1479	4129
cds-CAA22537.1	CU329671.1;CU329671.1	233634;234167	234070;234248	-;-	519	90
cds-CAA22538.2	CU329671.1;CU329671.1	234503;234594	234523;239513	-;-	4941	418
cds-CAB39136.1	CU329671.1	240370	243069	-	2700	1380
cds-CAB39137.1	CU329671.1;CU329671.1;CU329671.1	244611;244763;244935	244713;244864;244951	-;-;-	222	159
cds-CAB39138.2	CU329671.1;CU329671.1	245718;246428	246297;246639	+;+	792	716
cds-CAB39139.1	CU329671.1;CU329671.1	247261;247449	247398;248753	+;+	1443	114
cds-CAB39140.2	CU329671.1;CU329671.1	249087;249236	249188;252499	+;+	3366	822
cds-CAC01517.1	CU329671.1;CU329671.1	253148;253310	253231;253984	+;+	759	57
cds-CAC01518.1	CU329671.1	254822	256885	+	2064	407
cds-CAC01519.1	CU329671.1;CU329671.1	259577;259805	259704;259961	-;-	285	141
cds-CAC01520.1	CU329671.1	260725	262074	-	1350	363
cds-CAC01521.1	CU329671.1	262763	263650	+	888	125
cds-CAC01522.1	CU329671.1	263915	264814	-	900	105
cds-CAC01523.1	CU329671.1;CU329671.1	265374;265605	265468;266898	+;+	1389	314
cds-CAC01524.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	267490;267581;267678;267968	267542;267639;267859;268954	+;+;+;+	1281	153
cds-CAC35000.1	CU329671.1	269707	270189	-	483	208
cds-CAC01525.1	CU329671.1	270987	274337	-	3351	584
cds-CAC01526.1	CU329671.1	275907	277076	+	1170	137
cds-CAC01527.1	CU329671.1;CU329671.1;CU329671.1	278247;278530;278651	278488;278593;278758	-;-;-	414	29
cds-CAC01528.1	CU329671.1	279664	281103	+	1440	23
cds-CAA21906.1	CU329671.1;CU329671.1;CU329671.1	281629;281825;282096	281787;282051;283548	+;+;+	1839	507
cds-CAA21907.1	CU329671.1	283938	284525	-	588	140
cds-CAA21908.1	CU329671.1	286039	287418	-	1380	286
cds-CAA21909.1	CU329671.1	289625	290635	+	1011	266
cds-CAA21910.1	CU329671.1	290876	291958	-	1083	117
cds-CAA21911.1	CU329671.1	293466	294506	-	1041	151
cds-CAA21912.1	CU329671.1;CU329671.1;CU329671.1	296236;296405;296706	296306;296533;297153	-;-;-	648	644
cds-CAA21913.2	CU329671.1	297771	299093	-	1323	141
cds-CAA21914.2	CU329671.1;CU329671.1;CU329671.1	299347;300231;301165	300074;301108;301214	-;-;-	1656	142
cds-CAA21915.1	CU329671.1	301982	303688	-	1707	488
cds-CAA21916.1	CU329671.1	305301	306491	-	1191	161
cds-CAA21917.1	CU329671.1	308160	309944	+	1785	20
cds-CAA21918.1	CU329671.1	310702	312147	+	1446	116
cds-CAA21919.1	CU329671.1	313297	314682	+	1386	45
cds-CAA21920.1	CU329671.1	315962	317455	+	1494	114
cds-CAA21921.2	CU329671.1	318693	320480	-	1788	179
cds-CAA21922.3	CU329671.1	321662	322684	-	1023	215
cds-CAC08237.1	CU329671.1	324191	325162	-	972	116
cds-CAC08238.1	CU329671.1	327992	329746	-	1755	44
cds-CAA22205.1	CU329671.1	334388	336448	+	2061	224
cds-CAA22204.1	CU329671.1	336801	338138	-	1338	337
cds-CAA22203.1	CU329671.1;CU329671.1	340970;341583	341519;341656	-;-	624	100
cds-CAA22202.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	342409;343010;343505;343771;344022;344123;344186	342950;343322;343627;343849;344047;344135;344256	-;-;-;-;-;-;-	1167	973
cds-CAA22201.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	345364;346058;346246;346310;346403	345947;346178;346253;346337;346438	-;-;-;-;-	777	66
cds-CAA22200.1	CU329671.1	348314	350059	+	1746	262
cds-CAK9839441.1	CU329671.1	350783	352369	-	1587	47
cds-CAA22198.1	CU329671.1	356910	357332	+	423	87
cds-CAA22197.1	CU329671.1	358855	359346	+	492	229
cds-CAA22196.1	CU329671.1	359903	360343	+	441	4
cds-CAA22195.1	CU329671.1	363442	364089	+	648	93
cds-CAA22194.2	CU329671.1;CU329671.1;CU329671.1	365415;365766;366595	365630;366542;366654	+;+;+	1053	185
cds-CAA22193.1	CU329671.1	367594	368328	+	735	125
cds-CAA22192.1	CU329671.1;CU329671.1	368558;370776	370716;370875	-;-	2259	1433
cds-CAA22191.1	CU329671.1	372359	373549	+	1191	111
cds-CAB72266.2	CU329671.1	373889	375925	+	2037	169
cds-CAB53718.1	CU329671.1	376462	376836	-	375	24
cds-CAB53719.1	CU329671.1	378627	379700	+	1074	158
cds-CAB53720.2	CU329671.1;CU329671.1	380390;380624	380560;382948	+;+	2496	591
cds-CAB53721.3	CU329671.1;CU329671.1;CU329671.1	383527;383703;383940	383612;383874;383960	-;-;-	279	223
cds-CAB53722.1	CU329671.1	384321	385904	+	1584	831
cds-CAB53723.1	CU329671.1	386506	387009	-	504	64
cds-CAB53724.1	CU329671.1	387841	388731	-	891	74
cds-CAB53725.1	CU329671.1	390989	395365	+	4377	296
cds-CAB53726.1	CU329671.1	396992	398530	+	1539	257
cds-CAB53727.1	CU329671.1	399368	400684	-	1317	47
cds-CAB53728.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	401165;401844;402017;402195;402305	401683;401910;402141;402263;402349	-;-;-;-;-	825	76
cds-CAB53729.1	CU329671.1;CU329671.1;CU329671.1	402696;402986;403558	402923;403507;404022	+;+;+	1215	97
cds-CAB53730.1	CU329671.1	404262	406421	-	2160	192
cds-CAB53731.2	CU329671.1;CU329671.1;CU329671.1	406868;407056;407451	406991;407394;407677	+;+;+	690	115
cds-CAB53732.1	CU329671.1;CU329671.1;CU329671.1	409496;409655;410147	409594;410028;410453	+;+;+	780	206
cds-CAB53733.1	CU329671.1	411120	412634	-	1515	84
cds-CAB53734.1	CU329671.1;CU329671.1	413556;413894	413653;414221	+;+	426	357
cds-CAB53735.1	CU329671.1	415111	416658	+	1548	112
cds-CAB53736.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	417319;417371;417460;417665;419273;419411	417320;417399;417618;419219;419309;419476	+;+;+;+;+;+	1848	124
cds-CAB46666.1	CU329671.1	421123	422571	+	1449	216
cds-CAB46667.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	423269;423669;423782;423912;424424;424747;424921;425223;425410	423598;423738;423871;424373;424692;424872;425160;425350;425446	-;-;-;-;-;-;-;-;-	1752	198
cds-CAK9839472.1	CU329671.1;CU329671.1;CU329671.1	426160;428634;428873	428547;428771;428896	-;-;-	2550	203
cds-CAB46669.1	CU329671.1	429183	430166	-	984	28
cds-CAK9839474.1	CU329671.1	430551	431744	-	1194	390
cds-CAK9839475.1	CU329671.1;CU329671.1;CU329671.1	432595;433204;434057	433012;434003;434311	+;+;+	1473	242
cds-CAB46672.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	434873;434962;435283;435811	434917;434991;435761;435973	+;+;+;+	717	84
cds-CAB46673.1	CU329671.1;CU329671.1	436233;437989	437936;438777	-;-	2493	136
cds-CAK9839478.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	439274;441229;441392;441541;441718;441793;441916	441187;441337;441484;441667;441751;441840;441975	-;-;-;-;-;-;-	2385	741
cds-CAB46675.2	CU329671.1	442631	443914	-	1284	1547
cds-CAA22278.1	CU329671.1	445417	446808	-	1392	78
cds-CAA22279.1	CU329671.1	448934	449281	+	348	12
cds-CAA22280.1	CU329671.1	449771	451003	-	1233	526
cds-CAA22281.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	451989;452597;452755;452930;453014	452416;452705;452879;452964;453039	-;-;-;-;-	723	65
cds-CAA22283.1	CU329671.1	456575	458047	-	1473	145
cds-CAA22282.1	CU329671.1;CU329671.1;CU329671.1	454230;454668;455002	454597;454944;456312	+;+;+	1956	121
cds-CAA22285.2	CU329671.1	461024	463561	+	2538	483
cds-CAA22286.1	CU329671.1	465633	466922	+	1290	53
cds-CAA22287.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1	468134;468260;468514;468799	468198;468418;468609;468829	-;-;-;-	351	58
cds-CAA22288.1	CU329671.1;CU329671.1;CU329671.1	469388;469494;469951	469445;469893;470125	-;-;-	633	69
cds-CAA22289.1	CU329671.1	470652	471704	+	1053	122
cds-CAA22290.1	CU329671.1	472210	473439	+	1230	180
cds-CAA22291.1	CU329671.1;CU329671.1;CU329671.1	473827;474118;474436	474063;474376;474497	-;-;-	558	260
cds-CAA22292.1	CU329671.1;CU329671.1;CU329671.1	474627;474927;475020	474881;474979;476520	-;-;-	1809	208
cds-CAK9839494.1	CU329671.1	477431	478699	+	1269	44
cds-CAA22294.1	CU329671.1;CU329671.1	479203;480579	480369;480896	-;-	1485	257
cds-CAA22295.3	CU329671.1;CU329671.1;CU329671.1;CU329671.1	481076;481606;483478;483579	481552;483437;483539;483706	-;-;-;-	2499	224
cds-CAB62096.1	CU329671.1;CU329671.1;CU329671.1	483949;484362;484573	484312;484492;486960	-;-;-	2883	224
cds-CAB62097.1	CU329671.1	488230	488772	+	543	28
cds-CAB62098.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	489882;489950;490078;491675	489911;489987;491620;491833	+;+;+;+	1770	254
cds-CAB62099.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	492162;492319;493238;493334;493584	492268;493083;493286;493480;493655	-;-;-;-;-	1140	1097
cds-CAB62100.1	CU329671.1	494742	495935	+	1194	34
cds-CAA20049.1	CU329671.1	496813	497649	+	837	21
cds-CAA20050.1	CU329671.1;CU329671.1	498487;498601	498543;498990	-;-	447	397
cds-CAA20051.1	CU329671.1;CU329671.1;CU329671.1	499374;499556;499930	499397;499869;500161	+;+;+	570	112
cds-CAH05006.2	CU329671.1;CU329671.1;CU329671.1	501305;501685;501802	501396;501735;501862	+;+;+	204	68
cds-CAA20052.1	CU329671.1	502873	503850	+	978	67
cds-CAA20053.1	CU329671.1	505923	508916	+	2994	230
cds-CAA20054.1	CU329671.1;CU329671.1	509502;509942	509895;510984	+;+	1437	44
cds-CAA20055.1	CU329671.1	511204	512466	-	1263	44
cds-CAA20056.1	CU329671.1;CU329671.1;CU329671.1	514216;514724;514972	514553;514927;515704	+;+;+	1275	147
cds-CAA20057.1	CU329671.1;CU329671.1;CU329671.1	516442;516555;516727	516503;516654;516735	+;+;+	171	505
cds-CAA20058.1	CU329671.1;CU329671.1;CU329671.1	517344;517388;517685	517349;517480;517837	+;+;+	252	1022
cds-CAA20059.1	CU329671.1	518372	519463	+	1092	85
cds-CCD31351.1	CU329671.1	522740	522985	+	246	28
cds-CAA20061.1	CU329671.1	526091	526642	+	552	461
cds-CAA20062.2	CU329671.1;CU329671.1;CU329671.1	529453;531812;531957	531742;531904;531979	-;-;-	2406	297
cds-CAA20063.2	CU329671.1;CU329671.1	532697;535061	535020;535091	-;-	2355	174
cds-CAA19044.1	CU329671.1;CU329671.1	535383;535632	535458;535987	+;+	432	278
cds-CAA19045.1	CU329671.1	536985	537854	+	870	191
cds-CAA19046.1	CU329671.1;CU329671.1;CU329671.1	539418;539523;539915	539453;539704;539960	+;+;+	264	278
cds-CAA19047.1	CU329671.1;CU329671.1	541283;541332	541289;542971	+;+	1647	179
cds-CAA19048.3	CU329671.1;CU329671.1;CU329671.1;CU329671.1	543421;543484;543668;543892	543438;543552;543838;544725	+;+;+;+	1092	180
cds-CAA17802.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	545071;546331;546590;546679;546845;546957	546152;546464;546622;546791;546912;546966	-;-;-;-;-;-	1440	485
cds-CAA17803.1	CU329671.1	548670	549812	+	1143	107
cds-CAA17804.1	CU329671.1	550296	550787	+	492	47
cds-CAA17805.1	CU329671.1	551743	554124	-	2382	341
cds-CAA17806.2	CU329671.1;CU329671.1;CU329671.1	555893;556399;556846	555969;556579;556878	+;+;+	291	40
cds-CAA17807.4	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	558335;559273;560003;560151;560231	559225;559474;560028;560163;560292	-;-;-;-;-	1194	348
cds-CAA17808.1	CU329671.1;CU329671.1	561504;563965	563928;564137	-;-	2598	478
cds-CAA17809.1	CU329671.1	565310	567694	-	2385	403
cds-CAA17810.1	CU329671.1	571061	573952	+	2892	734
cds-CAA17812.1	CU329671.1	578731	579738	+	1008	1775
cds-CAA17813.1	CU329671.1	581247	583448	+	2202	249
cds-CAA17814.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	583794;584042;585052;585571;585754;585882	583960;584935;585411;585691;585836;585909	-;-;-;-;-;-	1653	118
cds-CAA17815.1	CU329671.1	586543	587781	+	1239	62
cds-CAA19002.2	CU329671.1	588729	591194	+	2466	309
cds-SPOM_SPBC1706.02C	CU329671.1;CU329671.1;CU329671.1	593185;593368;593437	593261;593393;593575	-;-;-	242	0
cds-CAA19004.1	CU329671.1	594472	596748	+	2277	336
cds-CAK9839539.1	CU329671.1	597611	599125	+	1515	162
cds-CAB46696.1	CU329671.1	599428	600183	-	756	32
cds-CAB46697.1	CU329671.1	601281	602042	+	762	371
cds-CCD31352.1	CU329671.1	603314	603556	+	243	0
cds-CAB46698.1	CU329671.1;CU329671.1	603704;604375	604096;604377	-;-	396	185
cds-CCD31353.1	CU329671.1;CU329671.1	604418;604733	604577;604920	-;-	348	27
cds-CAB46699.1	CU329671.1	608171	611284	+	3114	674
cds-CAB46700.1	CU329671.1	612670	613086	+	417	33
cds-CAB46701.1	CU329671.1;CU329671.1	613507;616316	616163;616466	-;-	2808	732
cds-CAB46702.1	CU329671.1;CU329671.1	617679;618063	617968;618138	-;-	366	68
cds-CAB46703.1	CU329671.1;CU329671.1;CU329671.1	618354;618422;620309	618372;620259;620539	+;+;+	2088	285
cds-CAB46704.1	CU329671.1	620635	621603	-	969	105
cds-CAB46705.1	CU329671.1	622332	622964	+	633	189
cds-CAB46706.1	CU329671.1;CU329671.1	623400;623999	623952;624039	-;-	594	133
cds-CAB46707.1	CU329671.1;CU329671.1	624426;625157	625101;625197	-;-	717	15
cds-CAB46708.1	CU329671.1	626106	627488	-	1383	4382
cds-CAB46709.1	CU329671.1;CU329671.1;CU329671.1	628030;628115;628538	628064;628259;631171	+;+;+	2814	767
cds-CAB46710.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	631842;631929;632248;632396;632616	631881;632142;632267;632433;632642	-;-;-;-;-	339	137
cds-CAB46711.2	CU329671.1	634344	635450	-	1107	113
cds-CAA17914.1	CU329671.1	637654	639018	+	1365	144
cds-CAA17913.1	CU329671.1;CU329671.1	639374;639512	639428;640137	+;+	681	90
cds-CAA17043.1	CU329671.1	641686	643341	+	1656	1551
cds-CAA17042.1	CU329671.1;CU329671.1	644291;644547	644479;644669	+;+	312	293
cds-CAA17041.1	CU329671.1	645220	646578	-	1359	128
cds-CAA17040.1	CU329671.1;CU329671.1;CU329671.1	647507;648137;648927	648070;648883;648989	-;-;-	1374	33
cds-CAA17039.1	CU329671.1;CU329671.1;CU329671.1	649980;651609;652500	651564;652452;652833	+;+;+	2763	111
cds-CAA17038.2	CU329671.1;CU329671.1	653091;653432	653363;655246	-;-	2088	296
cds-CAA17037.1	CU329671.1	656323	657108	-	786	71
cds-CAA17036.1	CU329671.1	659085	660101	+	1017	118
cds-CAA17035.1	CU329671.1	660384	661085	-	702	89
cds-CAA17034.1	CU329671.1	662940	664436	+	1497	222
cds-CAA17033.1	CU329671.1	667125	668819	+	1695	101
cds-CAA17032.1	CU329671.1	669740	672661	-	2922	136
cds-CAA17030.1	CU329671.1	677583	679634	-	2052	734
cds-CAK9839572.1	CU329671.1;CU329671.1	676761;677057	676908;677127	+;+	219	42
cds-CAA17029.1	CU329671.1;CU329671.1;CU329671.1	680549;680814;681271	680766;681222;682626	-;-;-	1983	258
cds-CAB66154.1	CU329671.1;CU329671.1	684143;685199	685117;685360	+;+	1137	138
cds-CAC38347.1	CU329671.1	687716	699631	+	11916	108
cds-CAC38348.1	CU329671.1;CU329671.1	700364;700544	700476;700556	+;+	126	198
cds-CAC38349.1	CU329671.1	701890	705513	+	3624	1605
cds-CAC38350.2	CU329671.1;CU329671.1	705932;706141	706077;706666	+;+	672	54
cds-CAC38351.1	CU329671.1	707588	711934	+	4347	665
cds-CAC38352.2	CU329671.1;CU329671.1;CU329671.1	712512;712577;712717	712530;712672;714095	+;+;+	1494	367
cds-CAA17917.1	CU329671.1;CU329671.1;CU329671.1	715333;715532;715981	715452;715609;716226	+;+;+	444	1387
cds-CAA17918.1	CU329671.1	717966	718766	+	801	1113
cds-CAK9839585.1	CU329671.1	719806	720252	+	447	0
cds-CAA17919.1	CU329671.1	719806	720252	+	447	0
cds-CAA17920.1	CU329671.1	721453	722343	-	891	259
cds-CAA17921.1	CU329671.1	723759	724550	+	792	149
cds-CAA17922.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	725343;725481;725683;726318	725428;725608;726260;730646	+;+;+;+	5121	339
cds-CAA17923.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	730860;731026;731479;731633	730925;731205;731550;732583	+;+;+;+	1269	99
cds-CAA17924.1	CU329671.1	733675	734235	-	561	148
cds-CAA17925.1	CU329671.1	735416	737089	+	1674	1247
cds-CAA17926.1	CU329671.1	737704	738795	-	1092	106
cds-CAA17927.1	CU329671.1	740275	741480	+	1206	222
cds-CAA17928.1	CU329671.1	741963	743519	-	1557	247
cds-CAC51385.1	CU329671.1;CU329671.1	744069;744170	744107;744340	+;+	210	27
cds-CAA17931.1	CU329671.1	749245	750591	-	1347	82
cds-CAA17929.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	746035;746364;746601;746839;747144;747268	746265;746447;746780;747091;747222;747556	+;+;+;+;+;+	1116	8
cds-CAA17930.1	CU329671.1;CU329671.1;CU329671.1	747852;747984;748194	747909;748137;749085	+;+;+	1104	210
cds-CAA17932.4	CU329671.1;CU329671.1	750786;750957	750905;753815	+;+	2979	628
cds-CAB54811.1	CU329671.1;CU329671.1	755560;756097	756023;756283	-;-	651	177
cds-CAB54810.1	CU329671.1;CU329671.1;CU329671.1	754652;754784;755150	754654;754970;755184	+;+;+	225	156
cds-CAB54812.1	CU329671.1;CU329671.1	756660;757057	756973;757345	+;+	603	34
cds-CAK9839603.1	CU329671.1;CU329671.1;CU329671.1	757566;757796;758002	757746;757951;758042	-;-;-	378	9
cds-CAB54814.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	758408;758475;759535;760382;764222	758421;759495;760340;764166;764229	-;-;-;-;-	5634	1090
cds-CAB54815.1	CU329671.1;CU329671.1;CU329671.1	764596;764833;765271	764784;765169;766253	+;+;+	1509	56
cds-CAB54816.1	CU329671.1;CU329671.1	766554;767255	767202;767478	-;-	873	229
cds-CAB54817.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	767782;767869;768080;768268;768434;768557	767818;768016;768187;768385;768512;769281	+;+;+;+;+;+	1215	77
cds-CAB54818.1	CU329671.1	769682	770470	+	789	835
cds-CAB54819.1	CU329671.1;CU329671.1;CU329671.1	771318;771756;771986	771575;771855;772347	+;+;+	720	219
cds-CAB54820.1	CU329671.1;CU329671.1	773480;774581	774485;775395	+;+	1821	163
cds-CAB54821.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	775773;778052;778316;778418	778006;778270;778367;778582	+;+;+;+	2670	494
cds-CAB54822.2	CU329671.1;CU329671.1	779188;779669	779667;779869	-;-	681	248
cds-CAB54823.1	CU329671.1	781072	782262	-	1191	150
cds-CAA19167.1	CU329671.1	785113	786657	+	1545	212
cds-CAA19168.1	CU329671.1	787678	789303	+	1626	26
cds-CCD31354.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	789840;789966;790090;790238	789896;790017;790199;790240	-;-;-;-	222	8
cds-CAA19169.1	CU329671.1	791259	791879	-	621	67
cds-CAA19170.1	CU329671.1;CU329671.1	793261;793549	793320;795057	+;+	1569	251
cds-CAA19171.2	CU329671.1	796583	798871	+	2289	297
cds-CAA19172.3	CU329671.1;CU329671.1;CU329671.1	799142;800840;802839	800838;802651;802851	-;-;-	3522	375
cds-CAA19173.1	CU329671.1	804365	805093	-	729	69
cds-CAA19174.1	CU329671.1	806834	809281	+	2448	424
cds-CAA19175.1	CU329671.1;CU329671.1	809525;809735	809650;810499	-;-	891	49
cds-CAA19176.1	CU329671.1	811413	812381	-	969	1107
cds-CAA19177.1	CU329671.1;CU329671.1;CU329671.1	814819;817199;817416	817143;817279;817469	-;-;-	2460	239
cds-CAA19178.2	CU329671.1	821281	823149	-	1869	874
cds-CAK9839627.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	824374;824579;824874;825065;825245	824534;824660;824999;825188;825747	+;+;+;+;+	996	33
cds-CAA19180.1	CU329671.1	826179	827813	-	1635	354
cds-CAA19181.2	CU329671.1	829091	830641	-	1551	330
cds-CAA19049.1	CU329671.1	833162	834904	-	1743	42
cds-CAA19050.1	CU329671.1	837552	839285	-	1734	105
cds-CAA19051.1	CU329671.1	843508	845124	-	1617	2326
cds-CAA19052.1	CU329671.1;CU329671.1	847985;848263	848117;849185	+;+	1056	342
cds-CAA19053.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	849509;849640;849746;849895;850080;850234;850373;850663;850799;850885;850959;851119;851215;851319	849588;849698;849854;850035;850188;850326;850607;850708;850842;850915;851076;851169;851276;851358	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1218	205
cds-CAA19054.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	852025;852647;852916;853103	852606;852847;853053;853237	-;-;-;-	1056	124
cds-CAA19056.2	CU329671.1;CU329671.1;CU329671.1	857531;857762;857905	857710;857842;858219	-;-;-	576	87
cds-CAA19055.1	CU329671.1	853631	857392	+	3762	615
cds-CAA19057.1	CU329671.1;CU329671.1;CU329671.1	858488;858740;859940	858687;859884;860073	+;+;+	1479	278
cds-CAA19058.1	CU329671.1	861231	861785	+	555	136
cds-CAA19059.1	CU329671.1	863274	864305	+	1032	95
cds-CAA19060.2	CU329671.1;CU329671.1;CU329671.1	864756;865288;865738	865244;865681;865994	-;-;-	1140	82
cds-CAC22603.1	CU329671.1;CU329671.1;CU329671.1	866540;869940;870080	869835;870030;870082	-;-;-	3390	2832
cds-CAC22604.1	CU329671.1;CU329671.1	871546;873157	873109;873173	+;+	1581	223
cds-CAC22605.1	CU329671.1	873358	875922	-	2565	450
cds-CAC22606.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	876350;876741;876821;877019	876695;876777;876978;877371	+;+;+;+	894	28
cds-CAC22607.1	CU329671.1	877504	879828	+	2325	392
cds-CAC22608.1	CU329671.1	879919	881652	-	1734	493
cds-CAC22609.1	CU329671.1	882460	882675	+	216	98
cds-CAC22610.1	CU329671.1;CU329671.1	884959;885042	885000;886187	+;+	1188	451
