# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_gluc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_gluc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_gluc_1Aligned.sortedByCoord.out.bam
cds-CAB52569.1	CU329670.1	4974116	4975480	+	1365	197
cds-CAB52570.1	CU329670.1	4975746	4977440	-	1695	142
cds-CAB52572.1	CU329670.1;CU329670.1	4980139;4980562	4980486;4980786	-;-	573	197
cds-CAB52571.1	CU329670.1;CU329670.1;CU329670.1	4978619;4978881;4979165	4978754;4979121;4979759	+;+;+	972	224
cds-CAB52573.1	CU329670.1	4981334	4982899	-	1566	246
cds-CAB52574.1	CU329670.1;CU329670.1	4985094;4986022	4985906;4986294	-;-	1086	38
cds-CAB52575.1	CU329670.1	4986738	4989245	-	2508	1054
cds-CAB52576.1	CU329670.1	4990047	4990664	-	618	42
cds-CAB52577.1	CU329670.1;CU329670.1;CU329670.1	4991146;4991276;4991706	4991205;4991557;4993334	+;+;+	1971	512
cds-CAB52578.2	CU329670.1;CU329670.1	4993896;4994046	4993934;4994444	-;-	438	99
cds-CAK9839087.1	CU329670.1;CU329670.1	4996030;4996904	4996763;4997171	-;-	1002	25
cds-CAB52580.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	4997617;4997775;4997988;4998777;4999068;4999207;4999274;4999708	4997719;4997935;4998734;4999017;4999154;4999233;4999672;4999955	+;+;+;+;+;+;+;+	2013	105
cds-CAB52581.2	CU329670.1;CU329670.1;CU329670.1	5000024;5000325;5000933	5000272;5000891;5001976	-;-;-	1860	165
cds-CAB63493.1	CU329670.1	5002771	5004195	-	1425	90
cds-CAB63494.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5004671;5004742;5004903;5005121	5004694;5004835;5004952;5006971	+;+;+;+	2019	192
cds-CAB63495.1	CU329670.1;CU329670.1	5007173;5008707	5008344;5008857	-;-	1323	271
cds-CAB63496.1	CU329670.1	5009807	5010661	+	855	138
cds-CAB63497.1	CU329670.1;CU329670.1;CU329670.1	5011732;5011916;5012077	5011864;5012020;5015786	+;+;+	3948	1243
cds-CAB63498.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5016020;5016076;5016262;5016649;5016994;5017138;5017421;5017700;5017782	5016026;5016215;5016596;5016943;5017059;5017252;5017433;5017703;5017829	-;-;-;-;-;-;-;-;-	1023	374
cds-CAB63499.1	CU329670.1;CU329670.1	5018126;5018393	5018272;5018587	+;+	342	4343
cds-CAB63500.2	CU329670.1;CU329670.1	5019492;5019722	5019670;5020667	+;+	1125	142
cds-CAA93889.1	CU329670.1;CU329670.1	5022184;5022726	5022491;5023077	+;+	660	108
cds-CAA93890.1	CU329670.1;CU329670.1	5023079;5023274	5023175;5023752	-;-	576	372
cds-CAA93891.1	CU329670.1;CU329670.1;CU329670.1	5024936;5024997;5025279	5024944;5025123;5026036	+;+;+	894	175
cds-CAA93892.1	CU329670.1;CU329670.1	5026800;5027348	5027294;5027407	-;-	555	231
cds-CAA93893.1	CU329670.1	5029000	5029998	-	999	241
cds-CAA93894.1	CU329670.1	5031784	5032944	+	1161	416
cds-CAA93895.1	CU329670.1;CU329670.1	5033478;5033656	5033603;5033823	+;+	294	89
cds-CAA93896.1	CU329670.1	5034440	5036569	-	2130	1408
cds-CAA93897.2	CU329670.1;CU329670.1	5037208;5037492	5037446;5039103	-;-	1851	1187
cds-CAA93898.1	CU329670.1	5039902	5042481	-	2580	584
cds-CAA93900.1	CU329670.1;CU329670.1;CU329670.1	5043797;5044479;5044668	5044231;5044617;5044672	-;-;-	579	180
cds-CAA93901.1	CU329670.1	5046577	5048517	-	1941	605
cds-CAA93903.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5049409;5051977;5052068;5052236	5051779;5052018;5052186;5052259	-;-;-;-	2556	540
cds-CAA93904.2	CU329670.1;CU329670.1;CU329670.1	5053107;5054436;5054608	5054373;5054554;5054673	-;-;-	1452	788
cds-CAA93905.1	CU329670.1;CU329670.1	5055181;5055257	5055217;5056230	+;+	1011	106
cds-CAA93906.2	CU329670.1	5056708	5058693	+	1986	331
cds-CAA93546.1	CU329670.1;CU329670.1	5059475;5060145	5059802;5061646	+;+	1830	496
cds-CAA93547.1	CU329670.1	5062198	5063049	-	852	50
cds-SPOM_SPAC2E12.05	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5064781;5065087;5065380;5065652;5065760	5064919;5065332;5065610;5065705;5065836	+;+;+;+;+	747	13
cds-CAB60231.1	CU329670.1	5067840	5069195	+	1356	1485
cds-CAB60232.1	CU329670.1	5069696	5070802	+	1107	38
cds-CAB60233.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5071212;5071462;5073389;5073728	5071417;5073188;5073449;5073872	-;-;-;-	2139	310
cds-CAB60234.1	CU329670.1	5075136	5077994	-	2859	28
cds-CAD24818.1	CU329670.1	5079186	5080376	-	1191	548
cds-CAB60236.1	CU329670.1;CU329670.1;CU329670.1	5081105;5083663;5084129	5083607;5084084;5084680	+;+;+	3477	663
cds-CAB60237.1	CU329670.1	5085563	5086741	+	1179	3978
cds-CAB60238.1	CU329670.1;CU329670.1	5088089;5089061	5088998;5089326	+;+	1176	172
cds-CAB60239.2	CU329670.1	5090441	5094751	+	4311	306
cds-CAB54828.1	CU329670.1;CU329670.1	5095211;5095548	5095301;5095810	-;-	354	75
cds-CAB54827.1	CU329670.1	5097113	5097439	+	327	8
cds-CAO77650.1	CU329670.1	5097850	5098212	-	363	87
cds-CAB54826.1	CU329670.1;CU329670.1;CU329670.1	5098187;5098507;5098775	5098405;5098713;5098816	-;-;-	468	142
cds-CAB54825.1	CU329670.1;CU329670.1	5099365;5099598	5099512;5099986	-;-	537	22
cds-CAB54824.1	CU329670.1;CU329670.1	5100376;5103966	5103924;5104016	-;-	3600	682
cds-CAB10146.1	CU329670.1;CU329670.1	5104524;5104701	5104605;5106253	-;-	1635	284
cds-CAB10145.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5106861;5107504;5108357;5110115	5107454;5108309;5110068;5110293	+;+;+;+	3291	152
cds-CAB10144.1	CU329670.1;CU329670.1;CU329670.1	5110432;5111614;5111790	5111536;5111719;5111874	-;-;-	1296	330
cds-CAB10143.2	CU329670.1;CU329670.1	5113142;5113481	5113369;5113696	+;+	444	43
cds-CAB10142.1	CU329670.1	5114504	5116414	-	1911	1088
cds-CAB10149.1	CU329670.1	5117526	5118878	-	1353	606
cds-CAB10141.3	CU329670.1;CU329670.1;CU329670.1	5119673;5119887;5120441	5119830;5120333;5120876	+;+;+	1041	133
cds-CAB10140.1	CU329670.1	5120873	5121580	-	708	128
cds-CAB10138.1	CU329670.1	5125929	5128838	-	2910	531
cds-CCD31343.1	CU329670.1	5124392	5124613	+	222	58
cds-CAB10139.1	CU329670.1	5124780	5125232	+	453	79
cds-CAB10137.1	CU329670.1	5130055	5131725	-	1671	120
cds-CAB10136.1	CU329670.1;CU329670.1;CU329670.1	5132240;5132689;5132835	5132641;5132794;5132938	-;-;-	612	185
cds-CAB10135.1	CU329670.1;CU329670.1;CU329670.1	5133242;5133340;5133930	5133299;5133444;5135233	+;+;+	1467	495
cds-CAB10134.1	CU329670.1	5135423	5135833	-	411	21
cds-CAB10133.1	CU329670.1;CU329670.1	5136167;5136405	5136362;5137276	+;+	1068	67
cds-CAB10132.1	CU329670.1	5137555	5137986	-	432	396
cds-CAK9839149.1	CU329670.1;CU329670.1;CU329670.1	5139024;5139192;5139427	5139190;5139424;5139575	+;+;+	549	3
cds-CAB10131.1	CU329670.1	5140407	5141831	+	1425	1527
cds-CAK9839151.1	CU329670.1;CU329670.1	5142407;5142626	5142626;5143224	+;+	818	389
cds-CAB10129.1	CU329670.1;CU329670.1	5143818;5144328	5144034;5145340	+;+	1230	4033
cds-CAK9839153.1	CU329670.1	5146273	5148000	+	1728	784
cds-CAA97370.1	CU329670.1	5148944	5152279	+	3336	2697
cds-CAA97369.1	CU329670.1;CU329670.1;CU329670.1	5153932;5153990;5154994	5153949;5154942;5155093	+;+;+	1071	241
cds-CAA97368.1	CU329670.1	5158023	5158340	-	318	8
cds-CAA97367.1	CU329670.1	5161512	5163164	+	1653	426
cds-CAA97366.1	CU329670.1	5163741	5166836	-	3096	407
cds-CAA97365.1	CU329670.1;CU329670.1	5167499;5167915	5167871;5170475	+;+	2934	169
cds-CAA97364.1	CU329670.1	5170883	5171848	-	966	2620
cds-CAA97363.1	CU329670.1	5173972	5174607	-	636	13709
cds-CAA97362.1	CU329670.1	5174979	5175326	-	348	8
cds-CAA97361.1	CU329670.1	5178325	5179443	+	1119	487
cds-CAA97360.1	CU329670.1	5179831	5181060	-	1230	2308
cds-CAK9839165.1	CU329670.1;CU329670.1	5181982;5182191	5182122;5182628	-;-	579	18
cds-CAA97358.2	CU329670.1	5182922	5185708	-	2787	154
cds-CAB62089.1	CU329670.1	5188171	5188566	+	396	82
cds-CAC14019.1	CU329670.1;CU329670.1;CU329670.1	5189727;5189969;5190125	5189768;5190053;5190258	+;+;+	261	161
cds-CAC37430.1	CU329670.1	5191144	5195145	-	4002	0
cds-CAC37431.2	CU329670.1	5195711	5199712	-	4002	0
cds-CAB16711.1	CU329670.1	5202823	5204958	+	2136	93
cds-CAB16712.1	CU329670.1	5205464	5206135	-	672	129
cds-CAB50789.1	CU329670.1;CU329670.1;CU329670.1	5206713;5207061;5207303	5206956;5207201;5208135	+;+;+	1218	49
cds-CAB16714.1	CU329670.1	5208776	5218459	+	9684	2715
cds-CAB16715.1	CU329670.1;CU329670.1;CU329670.1	5218899;5218962;5219517	5218922;5219470;5219535	-;-;-	552	76
cds-CAH25546.1	CU329670.1;CU329670.1	5219635;5219897	5219847;5220013	-;-	330	20
cds-CAB16716.1	CU329670.1	5220220	5221278	-	1059	124
cds-CAH25547.1	CU329670.1;CU329670.1	5221387;5221711	5221641;5221719	-;-	264	1
cds-CAB50790.2	CU329670.1	5225237	5225971	-	735	262
cds-CAB16717.1	CU329670.1	5223184	5224608	+	1425	4060
cds-CAB11195.2	CU329670.1;CU329670.1;CU329670.1	5226406;5229467;5229701	5229417;5229632;5229753	-;-;-	3231	279
cds-CAE46914.1	CU329670.1;CU329670.1	5229826;5229941	5229903;5230123	+;+	261	29
cds-CAB11196.1	CU329670.1;CU329670.1;CU329670.1	5231140;5231337;5231921	5231296;5231871;5232566	+;+;+	1338	15
cds-CAB11197.1	CU329670.1	5234293	5235096	+	804	217
cds-CAB11198.1	CU329670.1	5235784	5238318	-	2535	431
cds-CAB11199.1	CU329670.1;CU329670.1;CU329670.1	5238805;5239094;5239236	5239047;5239192;5239817	-;-;-	924	176
cds-CAB11200.1	CU329670.1	5240792	5242726	+	1935	645
cds-CAB11201.2	CU329670.1	5243053	5243610	+	558	11
cds-CAK9839189.1	CU329670.1	5244207	5245481	+	1275	536
cds-CAB11203.1	CU329670.1;CU329670.1	5246039;5246673	5246610;5247090	-;-	990	18
cds-CAB11204.1	CU329670.1;CU329670.1	5247756;5248131	5247923;5250167	+;+	2205	1166
cds-CAB11205.1	CU329670.1	5251141	5252034	-	894	66
cds-CAB11206.1	CU329670.1;CU329670.1;CU329670.1	5253358;5253612;5253773	5253568;5253715;5255278	+;+;+	1821	154
cds-CAB11207.1	CU329670.1;CU329670.1;CU329670.1	5256781;5257013;5257342	5256843;5257072;5258829	+;+;+	1611	2892
cds-CAB11208.2	CU329670.1;CU329670.1	5259148;5260297	5260252;5261753	-;-	2562	215
cds-CAB83085.1	CU329670.1;CU329670.1	5262392;5264883	5264817;5265030	-;-	2574	490
cds-CAB83086.1	CU329670.1	5265853	5266353	-	501	323
cds-CCD31344.1	CU329670.1	5272461	5272835	+	375	2
cds-CAA22445.1	CU329670.1	5274171	5275613	+	1443	73
cds-CAA22446.1	CU329670.1;CU329670.1	5276195;5276827	5276755;5276907	-;-	642	118
cds-CAA22447.2	CU329670.1	5277498	5281364	-	3867	642
cds-CAB11181.1	CU329670.1;CU329670.1	5281940;5285617	5285570;5285699	-;-	3714	490
cds-CAD88639.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5286130;5286221;5286609;5286877	5286181;5286562;5286821;5287055	+;+;+;+	786	61
cds-CAB11183.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5287384;5287614;5287851;5288055	5287556;5287698;5288012;5288081	-;-;-;-	447	280
cds-CAB11184.1	CU329670.1	5288392	5292363	+	3972	247
cds-CAB11185.1	CU329670.1;CU329670.1;CU329670.1	5292795;5293023;5293461	5292938;5293191;5294344	+;+;+	1197	121
cds-CAB11186.1	CU329670.1	5295021	5295704	+	684	762
cds-CAB11187.1	CU329670.1	5296165	5297733	-	1569	30
cds-CAB11188.1	CU329670.1;CU329670.1	5298838;5299231	5299125;5299854	+;+	912	137
cds-CAB11189.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5300782;5300925;5301116;5301350;5301457	5300843;5300948;5301302;5301379;5301642	+;+;+;+;+	489	233
cds-CAB11190.1	CU329670.1	5302569	5305397	-	2829	486
cds-CAB11191.1	CU329670.1;CU329670.1;CU329670.1	5305838;5306103;5306315	5306043;5306265;5306434	+;+;+	489	86
cds-CAB11192.1	CU329670.1	5307065	5308597	-	1533	994
cds-CAB11193.1	CU329670.1	5312420	5314186	+	1767	530
cds-CAB11194.2	CU329670.1;CU329670.1;CU329670.1	5314862;5314914;5315222	5314867;5315165;5315317	+;+;+	354	5735
cds-CAB55169.1	CU329670.1	5315814	5316491	-	678	49
cds-CAB55170.1	CU329670.1	5317939	5319300	+	1362	263
cds-CAB55171.1	CU329670.1	5320399	5320605	-	207	5640
cds-CAB55172.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5322527;5322778;5323312;5324324;5324446	5322722;5323251;5324283;5324408;5324806	+;+;+;+;+	2088	66
cds-CAB55173.1	CU329670.1	5325611	5326261	+	651	107
cds-CAB55174.1	CU329670.1;CU329670.1	5326720;5328101	5327829;5328109	-;-	1119	1798
cds-CAB55175.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5329218;5329301;5329506;5329713;5329878	5329248;5329432;5329646;5329805;5329906	+;+;+;+;+	426	580
cds-CAB55176.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5330519;5330825;5331218;5331380;5332392;5332552;5332651	5330779;5331162;5331318;5332283;5332497;5332599;5332665	-;-;-;-;-;-;-	1773	859
cds-CAB55177.1	CU329670.1;CU329670.1	5334178;5334328	5334260;5334760	+;+	516	92
cds-CAB55178.1	CU329670.1;CU329670.1	5334980;5336212	5336152;5336298	-;-	1260	51
cds-CAK9839226.1	CU329670.1	5336815	5340471	-	3657	1927
cds-CAB55180.1	CU329670.1	5341027	5342670	-	1644	191
cds-CAB55181.1	CU329670.1	5343874	5345907	-	2034	104
cds-CAB55182.1	CU329670.1;CU329670.1	5346324;5350830	5350780;5351808	-;-	5436	806
cds-CAB11274.2	CU329670.1;CU329670.1	5352606;5353557	5353425;5353672	-;-	936	373
cds-CCD31345.1	CU329670.1	5353938	5354219	-	282	14
cds-CAB11275.1	CU329670.1	5355131	5357242	+	2112	268
cds-CAB11276.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5357392;5357558;5357821;5358193	5357502;5357774;5358080;5358399	-;-;-;-	795	191
cds-CAB11277.1	CU329670.1;CU329670.1;CU329670.1	5358956;5359074;5359551	5359018;5359194;5360353	+;+;+	987	1631
cds-CAB11278.1	CU329670.1;CU329670.1	5360572;5361503	5361331;5361537	-;-	795	188
cds-CAB11279.2	CU329670.1	5361908	5363713	-	1806	83
cds-CAB11280.1	CU329670.1	5364360	5365961	-	1602	1045
cds-CAB11281.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5367548;5367821;5368218;5368701;5368915	5367696;5368091;5368659;5368843;5369286	+;+;+;+;+	1377	689
cds-CAB11282.1	CU329670.1;CU329670.1;CU329670.1	5370180;5370554;5371623	5370466;5371540;5371770	-;-;-	1422	145
cds-CAB11283.1	CU329670.1;CU329670.1;CU329670.1	5372201;5372356;5372503	5372301;5372398;5373204	+;+;+	846	116
cds-CCD31346.1	CU329670.1;CU329670.1	5373191;5373412	5373331;5373636	-;-	366	33
cds-CAB11284.1	CU329670.1;CU329670.1	5374117;5374327	5374281;5374992	-;-	831	211
cds-CAB11285.1	CU329670.1	5375612	5377699	+	2088	542
cds-CAB16277.1	CU329670.1;CU329670.1	5378427;5378676	5378618;5382650	+;+	4167	855
cds-CAB16278.1	CU329670.1;CU329670.1;CU329670.1	5383093;5383230;5383312	5383123;5383271;5383454	+;+;+	216	395
cds-CAB16279.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5383955;5384207;5384630;5385010	5384083;5384530;5384758;5385153	-;-;-;-	726	72
cds-CAB16280.1	CU329670.1	5385883	5386992	+	1110	133
cds-CAB16281.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	5388586;5389020;5389156;5389323	5388963;5389091;5389253;5389395	+;+;+;+	621	98
cds-CAB16282.1	CU329670.1;CU329670.1;CU329670.1	5389669;5391089;5391249	5390707;5391179;5391261	-;-;-	1143	143
cds-CAB16283.1	CU329670.1	5392273	5392650	+	378	2
cds-CAB16284.1	CU329670.1	5393688	5394236	+	549	70
cds-CAB16285.1	CU329670.1	5394646	5397195	-	2550	575
cds-CAB16286.1	CU329670.1	5397600	5398079	-	480	43
cds-CAB16287.1	CU329670.1;CU329670.1;CU329670.1	5399114;5399818;5400070	5399752;5400010;5401772	+;+;+	2535	143
cds-CAB40152.1	CU329670.1;CU329670.1	5402104;5402163	5402110;5402233	-;-	78	1042
cds-CAB16246.2	CU329670.1	5403241	5408055	+	4815	891
cds-CAB16247.1	CU329670.1	5408418	5410814	-	2397	399
cds-CAB16248.1	CU329670.1	5412489	5412863	+	375	245
cds-CAB16249.1	CU329670.1	5415186	5416076	+	891	1849
cds-CAB16250.1	CU329670.1	5416351	5417280	-	930	87
cds-CAB16251.1	CU329670.1	5417960	5418811	-	852	117
cds-CAB16252.2	CU329670.1	5419997	5425984	+	5988	1525
cds-CAB16253.3	CU329670.1;CU329670.1	5428407;5429119	5428522;5431072	+;+	2070	421
cds-CAB16254.1	CU329670.1	5431858	5434413	-	2556	360
cds-CAB16255.1	CU329670.1	5436678	5437202	-	525	86
cds-CAB16256.1	CU329670.1	5438212	5438553	+	342	20
cds-CAB16257.1	CU329670.1	5439049	5439462	+	414	94
cds-CAB16258.2	CU329670.1	5439849	5441621	-	1773	186
cds-CAB63537.1	CU329670.1	5445350	5447053	+	1704	122
cds-CAB63538.1	CU329670.1	5449717	5451522	+	1806	150
cds-CAB63539.1	CU329670.1	5452729	5453754	+	1026	198
cds-CAB63540.1	CU329670.1	5454901	5456424	+	1524	118
cds-CAB63541.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	5456745;5456840;5457528;5457872;5458047;5459275	5456788;5457472;5457826;5457993;5459173;5459395	-;-;-;-;-;-	2346	466
cds-CAB63542.1	CU329670.1	5460567	5461814	+	1248	596
cds-CAB63543.1	CU329670.1	5462443	5463789	-	1347	805
cds-CAB63544.1	CU329670.1	5464248	5465060	+	813	231
cds-CAB63545.1	CU329670.1	5466778	5468520	+	1743	2534
cds-CAB63546.1	CU329670.1;CU329670.1	5470914;5471284	5471227;5471350	+;+	381	180
cds-CAB63547.2	CU329670.1	5471561	5474548	-	2988	332
cds-CAB63550.1	CU329670.1;CU329670.1	5476877;5477948	5477883;5477957	+;+	1017	502
cds-CAB63551.1	CU329670.1	5479978	5480331	+	354	2001
cds-CCD31347.1	CU329670.1	5482662	5482877	+	216	16
cds-CAB63552.1	CU329670.1	5483049	5484563	-	1515	200
cds-CAB63553.1	CU329670.1	5485371	5486147	+	777	195
cds-CAB63554.1	CU329670.1	5487116	5488606	-	1491	1530
cds-CAB63555.3	CU329670.1	5489385	5491148	-	1764	159
cds-CAB60020.1	CU329670.1	5493222	5494880	+	1659	926
cds-CAB60019.1	CU329670.1	5497041	5497391	-	351	17
cds-CAB60018.1	CU329670.1	5498273	5498965	-	693	18
cds-CAB60017.1	CU329670.1	5499782	5501092	+	1311	68
cds-CAB60016.1	CU329670.1	5502575	5503186	+	612	35
cds-CAB60015.1	CU329670.1	5505900	5508422	+	2523	132
cds-CAB60014.1	CU329670.1	5511137	5512369	-	1233	50
cds-CAB60013.1	CU329670.1	5512757	5514742	+	1986	30
cds-CAB60012.1	CU329670.1	5517959	5519242	+	1284	3351
cds-CAB60011.1	CU329670.1	5521357	5523108	-	1752	379
cds-CAB75865.1	CU329670.1	5527692	5528672	+	981	72
cds-CAB75866.1	CU329670.1	5529962	5530960	-	999	17
cds-CAB75867.1	CU329670.1	5535198	5536280	+	1083	0
cds-CCD31348.1	CU329670.1	5538574	5539101	-	528	2
cds-CAB75869.1	CU329670.1	5540350	5541138	-	789	5
cds-CAB75870.1	CU329670.1	5542419	5542973	+	555	2
cds-CAB75871.1	CU329670.1	5545615	5546613	-	999	4
cds-CAB75872.1	CU329670.1;CU329670.1	5548884;5549956	5549819;5550012	-;-	993	2
cds-CAB75873.1	CU329670.1	5552811	5554529	+	1719	2
cds-CAO77652.2	CU329670.1	5555791	5556768	+	978	1
cds-CAB98253.1	CU329670.1	5560189	5561646	-	1458	0
cds-CAB98254.1	CU329670.1	5562608	5563045	-	438	0
cds-CAB98255.1	CU329670.1	5564211	5564651	-	441	0
cds-CAB98256.1	CU329670.1	5566206	5567240	-	1035	0
cds-CAB98257.1	CU329670.1;CU329670.1	5568903;5569314	5569255;5569803	-;-	843	0
cds-CAB98258.1	CU329670.1	5575193	5575564	-	372	0
cds-CAB98259.1	CU329670.1	5578447	5579133	-	687	0
cds-CAO77672.1	CU329671.1	304	693	-	390	0
cds-CAB94268.1	CU329671.1;CU329671.1	5451;5999	5940;6318	+;+	810	0
cds-CAB94269.1	CU329671.1	7980	9014	+	1035	0
cds-CAB94270.1	CU329671.1	10569	11009	+	441	10
cds-CAB94271.1	CU329671.1	12176	12613	+	438	0
cds-CAB94272.1	CU329671.1	13572	15029	+	1458	1
cds-CAB94273.1	CU329671.1	15981	16592	-	612	0
cds-CAB94274.1	CU329671.1;CU329671.1	19641;20109	20058;20383	+;+	693	1
cds-CAB94275.1	CU329671.1	22279	23529	-	1251	2
cds-CAB94276.1	CU329671.1	24916	25626	+	711	0
cds-CAB94277.1	CU329671.1;CU329671.1	26287;26420	26355;28372	-;-	2022	0
cds-SPOM_SPBC1348.11	CU329671.1;CU329671.1;CU329671.1	33231;33608;34295	33602;34291;34780	+;+;+	1542	7
cds-CAO77654.2	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	35112;35211;35748;35928;36234	35171;35612;35883;36125;36589	+;+;+;+;+	1152	25
cds-CAD27907.1	CU329671.1	38587	40143	-	1557	30
cds-CAD27908.1	CU329671.1	44810	46831	-	2022	15
cds-CAD27910.1	CU329671.1;CU329671.1;CU329671.1	49143;50953;51113	50910;51062;51181	-;-;-	1947	51
cds-CAD27909.1	CU329671.1	47428	49071	+	1644	57
cds-CAD27911.1	CU329671.1	54497	55567	-	1071	24
cds-CAD27912.1	CU329671.1	55850	56785	-	936	6
cds-CAD27913.2	CU329671.1	58324	59646	-	1323	1008
cds-CAO77656.1	CU329671.1;CU329671.1	60553;61119	61107;61205	-;-	642	16
cds-CCD31349.1	CU329671.1;CU329671.1	61496;61632	61526;61855	+;+	255	116
cds-CCD31350.1	CU329671.1;CU329671.1;CU329671.1	62256;62598;62944	62449;62885;62956	-;-;-	495	80
cds-CAD31744.1	CU329671.1	64669	65514	-	846	2576
cds-CAD31745.1	CU329671.1	66842	67225	+	384	0
cds-SPOM_SPBPB21E7.06	CU329671.1	68355	68852	+	498	4
cds-CAD31747.1	CU329671.1	70204	71094	+	891	411
cds-SPOM_SPBPB21E7.08	CU329671.1;CU329671.1;CU329671.1	72345;72615;73136	72612;73117;73390	+;+;+	1026	1368
cds-CAD31749.1	CU329671.1	76318	77400	+	1083	88
cds-CAC36910.1	CU329671.1	81295	82953	+	1659	86
cds-CAC36911.1	CU329671.1	83767	85431	-	1665	132
cds-SPOM_SPBPB10D8.03	CU329671.1	87727	89029	+	1303	10
cds-CAC36913.1	CU329671.1	91724	92863	-	1140	0
cds-CAC36914.1	CU329671.1	94483	95622	-	1140	0
cds-CAC36915.1	CU329671.1	97242	98381	-	1140	0
cds-CAC36916.1	CU329671.1	100001	101140	-	1140	0
cds-CAC36917.2	CU329671.1	105128	106873	+	1746	141
cds-CAB91571.1	CU329671.1	107759	108871	+	1113	158
cds-CAB91572.1	CU329671.1	111309	113048	-	1740	495
cds-CAB91573.1	CU329671.1	118252	119328	-	1077	24
cds-CAB91574.1	CU329671.1	122747	127144	+	4398	349
cds-CAB91575.1	CU329671.1	128825	129598	+	774	224
cds-CAB91163.1	CU329671.1	134303	136024	+	1722	163
cds-CAB91164.1	CU329671.1	137044	138063	+	1020	150
cds-CAB91165.1	CU329671.1	138525	140084	-	1560	379
cds-CAB91166.1	CU329671.1	142412	144910	+	2499	338
cds-CAB91167.1	CU329671.1	148750	150429	+	1680	300
cds-CAB91168.1	CU329671.1	151814	152746	-	933	108
cds-CAB91169.1	CU329671.1	153562	155301	+	1740	961
cds-CAB91170.1	CU329671.1	157555	159228	+	1674	201
cds-CAB91171.1	CU329671.1	160461	162155	-	1695	290
cds-CAB91172.1	CU329671.1	164430	165158	-	729	503
cds-CAB91173.1	CU329671.1	166792	168348	-	1557	278
cds-CAB91174.1	CU329671.1	168671	170119	+	1449	326
cds-CAB91175.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1	170167;171909;172040;172105	171862;171991;172064;172157	-;-;-;-	1857	195
cds-CAB91176.1	CU329671.1	172991	174262	+	1272	179
cds-CAB91177.1	CU329671.1	174842	175945	+	1104	274
cds-CAB91178.1	CU329671.1	176297	177046	-	750	84
cds-CAK9839372.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	177556;177656;178344;178690;178857;179032;179322;179440;180300;180461	177608;178291;178651;178811;178988;179283;179387;180143;180416;180608	-;-;-;-;-;-;-;-;-;-	2538	0
cds-CAB91179.1	CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1;CU329671.1	177556;177656;178344;178690;178857;179032;179322;179440;180461	177608;178291;178651;178811;178988;179283;179387;180416;180608	-;-;-;-;-;-;-;-;-	2694	6
cds-CAB91180.1	CU329671.1	181695	182303	+	609	791
cds-CAB91181.1	CU329671.1	182825	184225	-	1401	384
cds-CAB91182.2	CU329671.1;CU329671.1	185289;186594	186535;186675	-;-	1329	358
cds-CAB91183.2	CU329671.1;CU329671.1	187424;187581	187455;188979	+;+	1431	2132
cds-CAB91185.1	CU329671.1;CU329671.1;CU329671.1	190207;191288;191489	191217;191414;191676	-;-;-	1326	218
cds-CAB91184.2	CU329671.1;CU329671.1	189665;189978	189919;190205	+;+	483	196
cds-CAB91186.1	CU329671.1;CU329671.1;CU329671.1	191936;192198;192566	192146;192524;193542	-;-;-	1515	210
cds-CAB91188.1	CU329671.1;CU329671.1;CU329671.1	195990;196348;196551	196244;196491;197075	-;-;-	924	361
cds-CAB91187.1	CU329671.1;CU329671.1	194678;194845	194798;195989	+;+	1266	100
cds-CAB91189.2	CU329671.1	198099	199142	-	1044	355
